,Unnamed: 0,Unnamed: 0.1,score,model,eps
0,0,20,0.716059364913854,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
1,1,21,0.7367981227578752,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
2,2,22,0.7155775368468867,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
3,3,23,0.6958124705183529,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
4,4,24,0.7766779060896708,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
5,5,25,0.7526656134241272,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
6,6,26,0.7065976215047423,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
7,7,27,0.7426490791815871,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
8,8,28,0.7514890575262092,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
9,9,29,0.7383060592658117,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
10,10,30,0.699929666508614,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
11,11,31,0.7745367350785308,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
12,12,32,0.7048925301402081,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
13,13,33,0.6611269613436798,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
14,14,34,0.6791476188535013,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
15,15,35,0.7243218932537818,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
16,16,36,0.6944579254176777,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
17,17,37,0.7385586847351553,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
18,18,38,0.7474590888987175,$\alpha_{OT^{\mathcal{U}}_{\varepsilon}}$ (IBP),0.16
